Date,PlayerID,Training,FactorRatio,FactorRPE
2018-07-21,13,Yes,1.500978537,1.889948051
2018-07-21,13,Yes,3.598636956,15.84311703
2018-07-21,13,Yes,3.404329459,16.56836933
2018-07-20,11,Yes,4.36297861,17.65753675
2018-07-20,11,Yes,4.343913171,19.09454742
2018-07-20,11,Yes,2.499585122,6.927521338
2018-07-20,13,Yes,3.264059881,14.39528897
2018-07-20,13,Yes,3.001196792,13.3276514
2018-07-20,13,Yes,1.770215951,3.651779643
2018-07-19,1,Yes,6.446696862,24.4142872
2018-07-19,2,Yes,6.228562823,25.1110954
2018-07-19,6,Yes,2.677940409,14.84478643
2018-07-19,6,Yes,3.663297043,15.19358274
2018-07-19,6,Yes,2.848569489,12.01732195
2018-07-19,7,Yes,6.209096708,25.82856753
2018-07-19,10,Yes,7.612412041,30.45651561
2018-07-19,11,Yes,8.976795142,36.51940796
2018-07-19,13,Yes,9.195730535,37.26167684
2018-07-19,13,Yes,3.872699589,10.83283129
2018-07-19,16,Yes,6.109362069,25.09869703
2018-07-18,13,Yes,3.5846311,10.80286857
2018-07-17,1,Yes,6.178495166,24.38639088
2018-07-17,1,Yes,3.45549695,10.78943701
2018-07-17,2,Yes,6.327896785,25.12142737
2018-07-17,2,Yes,4.481108866,15.08326539
2018-07-17,3,Yes,7.602879321,31.17502095
2018-07-17,4,Yes,6.149496331,25.82236835
2018-07-17,5,Yes,6.2289635,25.83063393
2018-07-17,6,Yes,3.597127324,15.21947566
2018-07-17,6,Yes,3.803120649,19.44380498
2018-07-17,7,Yes,7.613213395,31.89559268
2018-07-17,10,Yes,6.079561881,25.09559744
2018-07-17,11,Yes,8.966861746,36.51837477
2018-07-17,13,Yes,8.8158673,37.19510938
2018-07-17,13,Yes,6.121467242,21.4426395
2018-07-17,14,Yes,8.837727596,36.5049432
2018-07-17,15,Yes,6.019961504,25.08939825
2018-07-17,16,Yes,6.188428562,24.38742407
2018-07-17,16,Yes,4.332107923,15.06776743
2018-07-16,1,Yes,6.029494223,24.37089292
2018-07-16,1,Yes,3.656327024,14.50613631
2018-07-16,2,Yes,2.979185328,11.6875469
2018-07-16,2,Yes,5.361885247,20.83379817
2018-07-16,2,Yes,2.181716445,6.894459026
2018-07-16,3,Yes,3.786262528,15.95864494
2018-07-16,3,Yes,6.168962446,25.10489621
2018-07-16,7,Yes,6.188428562,24.38742407
2018-07-16,7,Yes,2.929518347,11.68238091
2018-07-16,10,Yes,3.159022176,13.44007971
2018-07-16,10,Yes,5.970294523,25.08423227
2018-07-16,11,Yes,8.827393523,35.78437147
2018-07-16,13,Yes,3.208054117,12.43084896
2018-07-16,13,Yes,7.333641908,29.41318936
2018-07-16,13,Yes,2.877288539,7.261641034
