,Date,PlayerID,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteLoad,AcuteChronicRatio
0,2017-08-01,1,Speed,60.0,3.0,180.0,540.0,77.1,4.0
1,2017-08-01,1,Strength,90.0,4.0,360.0,540.0,77.1,4.0
2,2017-08-01,3,Speed,45.0,5.0,225.0,675.0,96.4,4.0
3,2017-08-01,3,Strength,90.0,5.0,450.0,675.0,96.4,4.0
4,2017-08-01,5,Speed,30.0,3.0,90.0,330.0,47.1,3.99
5,2017-08-01,5,Strength,60.0,4.0,240.0,330.0,47.1,3.99
6,2017-08-01,8,Speed,60.0,2.0,120.0,345.0,49.3,4.0
7,2017-08-01,8,Strength,75.0,3.0,225.0,345.0,49.3,4.0
8,2017-08-01,9,Conditioning,45.0,9.0,405.0,405.0,57.9,4.0
9,2017-08-01,10,Speed,60.0,4.0,240.0,640.0,91.4,4.0
10,2017-08-01,10,Strength,80.0,5.0,400.0,640.0,91.4,4.0
11,2017-08-01,11,Speed,50.0,4.0,200.0,500.0,71.4,4.0
12,2017-08-01,11,Strength,75.0,4.0,300.0,500.0,71.4,4.0
13,2017-08-01,12,Speed,50.0,2.0,100.0,280.0,40.0,4.0
14,2017-08-01,12,Strength,90.0,2.0,180.0,280.0,40.0,4.0
15,2017-08-01,13,Speed,60.0,5.0,300.0,840.0,120.0,4.0
16,2017-08-01,13,Strength,90.0,6.0,540.0,840.0,120.0,4.0
17,2017-08-01,15,Speed,30.0,2.0,60.0,300.0,42.9,4.01
18,2017-08-01,15,Strength,60.0,4.0,240.0,300.0,42.9,4.01
19,2017-08-02,3,Skills,60.0,3.0,180.0,180.0,122.1,4.0
20,2017-08-02,4,Skills,60.0,3.0,180.0,180.0,25.7,4.0
21,2017-08-02,8,Skills,60.0,2.0,120.0,120.0,66.4,4.0
22,2017-08-02,10,Skills,60.0,3.0,180.0,180.0,117.1,4.0
23,2017-08-02,11,Skills,30.0,2.0,60.0,60.0,80.0,4.0
24,2017-08-02,12,Skills,60.0,2.0,120.0,120.0,57.1,4.0
25,2017-08-02,13,Mobility/Recovery,15.0,0.0,0.0,240.0,154.3,4.0
26,2017-08-02,13,Skills,60.0,4.0,240.0,240.0,154.3,4.0
27,2017-08-02,14,Skills,60.0,2.0,120.0,120.0,17.1,3.99
28,2017-08-02,15,Skills,60.0,3.0,180.0,180.0,68.6,4.0
29,2017-08-03,3,Skills,75.0,4.0,300.0,780.0,233.6,4.0
30,2017-08-03,3,Speed,60.0,5.0,300.0,780.0,233.6,4.0
31,2017-08-03,3,Strength,45.0,4.0,180.0,780.0,233.6,4.0
32,2017-08-03,5,Strength,45.0,4.0,180.0,360.0,98.6,4.0
33,2017-08-03,8,Skills,60.0,3.0,180.0,480.0,135.0,4.0
34,2017-08-03,8,Speed,60.0,3.0,180.0,480.0,135.0,4.0
35,2017-08-03,8,Strength,60.0,2.0,120.0,480.0,135.0,4.0
36,2017-08-03,9,Conditioning,30.0,5.0,150.0,600.0,143.6,4.0
37,2017-08-03,9,Strength,75.0,6.0,450.0,600.0,143.6,4.0
38,2017-08-03,10,Skills,90.0,4.0,360.0,720.0,220.0,4.0
39,2017-08-03,10,Speed,45.0,4.0,180.0,720.0,220.0,4.0
40,2017-08-03,10,Strength,60.0,3.0,180.0,720.0,220.0,4.0
41,2017-08-03,12,Skills,75.0,2.0,150.0,450.0,121.4,4.0
42,2017-08-03,12,Speed,60.0,2.0,120.0,450.0,121.4,4.0
43,2017-08-03,12,Strength,60.0,3.0,180.0,450.0,121.4,4.0
44,2017-08-03,13,Mobility/Recovery,30.0,0.0,0.0,1125.0,315.0,4.0
45,2017-08-03,13,Skills,90.0,5.0,450.0,1125.0,315.0,4.0
46,2017-08-03,13,Speed,60.0,5.0,300.0,1125.0,315.0,4.0
47,2017-08-03,13,Strength,75.0,5.0,375.0,1125.0,315.0,4.0
48,2017-08-03,14,Skills,120.0,4.0,480.0,795.0,130.7,4.0
49,2017-08-03,14,Speed,45.0,3.0,135.0,795.0,130.7,4.0
50,2017-08-03,14,Strength,60.0,3.0,180.0,795.0,130.7,4.0
51,2017-08-03,15,Skills,60.0,4.0,240.0,720.0,171.4,4.0
52,2017-08-03,15,Speed,60.0,4.0,240.0,720.0,171.4,4.0
53,2017-08-03,15,Strength,60.0,4.0,240.0,720.0,171.4,4.0
54,2017-08-04,3,Skills,60.0,5.0,300.0,1140.0,396.4,4.0
55,2017-08-04,3,Speed,60.0,5.0,300.0,1140.0,396.4,4.0
56,2017-08-04,3,Strength,90.0,6.0,540.0,1140.0,396.4,4.0
57,2017-08-04,4,Skills,90.0,4.0,360.0,1035.0,173.6,4.0
58,2017-08-04,4,Speed,60.0,5.0,300.0,1035.0,173.6,4.0
59,2017-08-04,4,Strength,75.0,5.0,375.0,1035.0,173.6,4.0
60,2017-08-04,5,Conditioning,30.0,5.0,150.0,450.0,162.9,4.0
61,2017-08-04,5,Strength,60.0,5.0,300.0,450.0,162.9,4.0
62,2017-08-04,8,Skills,60.0,2.0,120.0,675.0,231.4,4.0
63,2017-08-04,8,Speed,60.0,3.0,180.0,675.0,231.4,4.0
64,2017-08-04,8,Strength,75.0,5.0,375.0,675.0,231.4,4.0
65,2017-08-04,9,Conditioning,35.0,5.0,175.0,725.0,247.1,4.0
66,2017-08-04,9,Mobility/Recovery,20.0,0.0,10.0,725.0,247.1,4.0
67,2017-08-04,9,Strength,90.0,6.0,540.0,725.0,247.1,4.0
68,2017-08-04,10,Skills,75.0,4.0,300.0,1155.0,385.0,4.0
69,2017-08-04,10,Speed,45.0,5.0,225.0,1155.0,385.0,4.0
70,2017-08-04,10,Strength,90.0,7.0,630.0,1155.0,385.0,4.0
71,2017-08-04,13,Mobility/Recovery,10.0,0.0,0.0,1290.0,499.3,4.0
72,2017-08-04,13,Skills,90.0,5.0,450.0,1290.0,499.3,4.0
73,2017-08-04,13,Speed,60.0,5.0,300.0,1290.0,499.3,4.0
74,2017-08-04,13,Strength,90.0,6.0,540.0,1290.0,499.3,4.0
75,2017-08-04,14,Skills,120.0,5.0,600.0,1275.0,312.9,4.0
76,2017-08-04,14,Speed,45.0,5.0,225.0,1275.0,312.9,4.0
77,2017-08-04,14,Strength,90.0,5.0,450.0,1275.0,312.9,4.0
78,2017-08-05,13,Mobility/Recovery,30.0,0.0,15.0,15.0,501.4,4.0
79,2017-08-06,8,Mobility/Recovery,30.0,0.0,15.0,15.0,233.6,4.0
80,2017-08-06,13,Mobility/Recovery,30.0,0.0,0.0,0.0,501.4,4.0
81,2017-08-07,1,Skills,60.0,3.0,180.0,720.0,102.9,2.29
82,2017-08-07,1,Speed,60.0,3.0,180.0,720.0,102.9,2.29
83,2017-08-07,1,Strength,90.0,4.0,360.0,720.0,102.9,2.29
84,2017-08-07,3,Mobility/Recovery,30.0,1.0,30.0,1110.0,458.6,3.31
85,2017-08-07,3,Skills,60.0,4.0,240.0,1110.0,458.6,3.31
86,2017-08-07,3,Speed,60.0,5.0,300.0,1110.0,458.6,3.31
87,2017-08-07,3,Strength,90.0,6.0,540.0,1110.0,458.6,3.31
88,2017-08-07,4,Skills,90.0,3.0,270.0,1110.0,332.1,4.0
89,2017-08-07,4,Speed,60.0,5.0,300.0,1110.0,332.1,4.0
90,2017-08-07,4,Strength,90.0,6.0,540.0,1110.0,332.1,4.0
91,2017-08-07,5,Mobility/Recovery,30.0,0.0,0.0,480.0,184.3,3.19
92,2017-08-07,5,Speed,30.0,6.0,180.0,480.0,184.3,3.19
93,2017-08-07,5,Strength,60.0,5.0,300.0,480.0,184.3,3.19
94,2017-08-07,7,Skills,60.0,3.0,180.0,1050.0,150.0,4.0
95,2017-08-07,7,Speed,60.0,4.0,240.0,1050.0,150.0,4.0
96,2017-08-07,7,Strength,90.0,7.0,630.0,1050.0,150.0,4.0
97,2017-08-07,8,Skills,75.0,3.0,225.0,945.0,319.3,3.47
98,2017-08-07,8,Speed,60.0,3.0,180.0,945.0,319.3,3.47
99,2017-08-07,8,Strength,90.0,6.0,540.0,945.0,319.3,3.47
100,2017-08-07,9,Conditioning,45.0,7.0,315.0,705.0,290.0,3.33
101,2017-08-07,9,Mobility/Recovery,30.0,0.0,15.0,705.0,290.0,3.33
