,Date,PlayerID,AccelImpulse
0,2017-11-30,2,5.9583381
1,2017-11-30,3,5.952385714285714
2,2017-11-30,4,5.921301033333333
3,2017-11-30,6,5.939819566666667
4,2017-11-30,7,5.785718914285712
5,2017-11-30,8,5.948417457142857
6,2017-11-30,9,5.750004599999999
7,2017-11-30,10,5.921301033333333
8,2017-11-30,11,5.888893599999999
9,2017-11-30,12,5.967597366666666
10,2017-11-30,13,5.9682587428571425
11,2017-11-30,17,5.888893599999999
12,2017-12-01,2,5.717597166666667
13,2017-12-01,3,5.911115839999999
14,2017-12-01,4,5.90000472
15,2017-12-01,6,5.86806025
16,2017-12-01,7,5.9583381
17,2017-12-01,8,5.842597266666666
18,2017-12-01,9,5.9305603
19,2017-12-01,10,5.972226999999999
20,2017-12-01,11,5.851856533333333
21,2017-12-01,12,5.958338099999999
22,2017-12-01,13,5.953708466666666
23,2017-12-01,14,5.9611158799999995
24,2017-12-01,15,5.9027825
25,2017-12-01,16,5.972226999999999
26,2017-12-01,17,5.911115839999999
27,2017-12-01,18,5.953708466666666
28,2017-12-01,19,5.902782499999999
29,2017-12-01,20,5.9583381
30,2017-12-01,21,5.9583381
31,2018-01-26,2,5.967597366666666
32,2018-01-26,3,5.968754774999999
33,2018-01-26,4,5.953708466666666
34,2018-01-26,7,5.953708466666666
35,2018-01-26,8,5.964290485714285
36,2018-01-26,9,5.6666712
37,2018-01-26,10,5.944449199999999
38,2018-01-26,11,5.953708466666666
39,2018-01-26,12,5.960322228571428
40,2018-01-26,13,5.865745433333333
41,2018-01-26,14,5.873020571428571
42,2018-01-26,21,5.5000044
43,2018-01-27,1,5.972226999999999
44,2018-01-27,2,5.9611158799999995
45,2018-01-27,3,5.768523133333333
46,2018-01-27,4,5.870375066666667
47,2018-01-27,5,5.694449
48,2018-01-27,7,5.95139365
49,2018-01-27,8,5.861115799999999
50,2018-01-27,9,5.9583381
51,2018-01-27,10,5.927782519999999
52,2018-01-27,11,5.972226999999999
53,2018-01-27,12,5.972226999999999
54,2018-01-27,13,5.89583805
55,2018-01-27,14,5.9027825
56,2018-01-27,16,5.731486066666668
57,2018-01-28,1,5.9305603
58,2018-01-28,2,5.8194491
59,2018-01-28,3,5.972226999999999
60,2018-01-28,4,5.953708466666666
61,2018-01-28,5,5.5277822
62,2018-01-28,7,5.953708466666666
63,2018-01-28,8,5.9305603
64,2018-01-28,10,5.972226999999999
65,2018-01-28,11,5.9583381
66,2018-01-28,12,5.847226899999999
67,2018-01-28,13,5.6805601
68,2018-01-28,16,5.916671399999999
69,2018-04-13,1,5.9305603
70,2018-04-13,2,5.91111584
71,2018-04-13,3,5.944449199999999
72,2018-04-13,4,5.9583381
73,2018-04-13,5,5.92361585
74,2018-04-13,7,5.85417135
75,2018-04-13,8,5.9583381
76,2018-04-13,10,5.9583381
77,2018-04-13,11,5.902782499999999
78,2018-04-13,12,5.9652825499999995
79,2018-04-13,13,5.93750475
80,2018-04-13,16,5.911115840000001
81,2018-04-14,1,5.861115799999999
82,2018-04-14,2,5.9305603
83,2018-04-14,3,5.972226999999999
84,2018-04-14,4,5.9583381
85,2018-04-14,5,5.9305603
86,2018-04-14,8,5.972226999999999
87,2018-04-14,10,5.9583381
88,2018-04-14,11,5.888893599999999
89,2018-04-14,12,5.888893599999999
90,2018-04-14,13,5.902782499999999
91,2018-04-14,14,5.972226999999999
92,2018-04-14,16,5.9444492
93,2018-04-15,1,5.939819566666667
94,2018-04-15,2,5.9652825499999995
95,2018-04-15,3,5.972226999999999
96,2018-04-15,4,5.96667144
97,2018-04-15,5,5.61667116
98,2018-04-15,8,5.972226999999999
99,2018-04-15,10,5.95139365
100,2018-04-15,11,5.972226999999999
101,2018-04-15,12,5.879634333333333
102,2018-04-15,13,5.96667144
103,2018-04-15,14,5.84028245
104,2018-04-15,16,5.9611158799999995
105,2018-04-21,1,5.967597366666666
106,2018-04-21,2,5.972226999999999
107,2018-04-21,4,5.972226999999999
108,2018-04-21,5,5.828708366666667
109,2018-04-21,7,5.96667144
110,2018-04-21,8,5.967597366666666
111,2018-04-21,10,5.972226999999999
112,2018-04-21,11,5.944449199999999
113,2018-04-21,12,5.951393649999999
114,2018-04-21,13,5.800930566666666
115,2018-04-21,14,5.9305603
116,2018-04-21,15,5.90972695
117,2018-04-21,16,5.967597366666666
118,2018-04-22,1,5.9652825499999995
119,2018-04-22,2,5.965282549999999
120,2018-04-22,4,5.9652825499999995
121,2018-04-22,5,5.9611158799999995
122,2018-04-22,7,5.95556032
123,2018-04-22,8,5.9583381
124,2018-04-22,10,5.9305603
125,2018-04-22,11,5.95556032
126,2018-04-22,12,5.950004760000001
127,2018-04-22,13,5.972226999999999
128,2018-04-22,15,5.9305603
129,2018-04-22,16,5.85417135
130,2018-05-12,1,5.967597366666666
131,2018-05-12,2,5.9583381
132,2018-05-12,4,5.972226999999998
133,2018-05-12,5,5.8194491
