,Date,PlayerID,Training,FactorRatio,FactorRPE
0,2018-07-21,13,Yes,1.5009785374287306,1.8899480511797695
1,2018-07-21,13,Yes,3.598636956116906,15.843117033129886
2,2018-07-21,13,Yes,3.4043294586250443,16.568369326374775
3,2018-07-20,11,Yes,4.362978609590426,17.657536746764098
4,2018-07-20,11,Yes,4.343913171298042,19.094547417910178
5,2018-07-20,11,Yes,2.4995851222628915,6.927521338384881
6,2018-07-20,13,Yes,3.264059881294362,14.395288966298128
7,2018-07-20,13,Yes,3.0011967924951453,13.32765139944635
8,2018-07-20,13,Yes,1.7702159506581672,3.6517796425752063
9,2018-07-19,1,Yes,6.4466968619486495,24.414287203164243
10,2018-07-19,2,Yes,6.228562823381609,25.11109539635445
11,2018-07-19,6,Yes,2.6779404090014913,14.844786430782573
12,2018-07-19,6,Yes,3.663297043047626,15.193582740547914
13,2018-07-19,6,Yes,2.848569489368022,12.017321949166586
14,2018-07-19,7,Yes,6.20909670807252,25.828567534671162
15,2018-07-19,10,Yes,7.612412040517975,30.456515611407628
16,2018-07-19,11,Yes,8.976795142345253,36.51940796477752
17,2018-07-19,13,Yes,9.195730534945703,37.26167683724604
18,2018-07-19,13,Yes,3.87269958920295,10.832831290523
19,2018-07-19,16,Yes,6.1093620694268385,25.098697029278547
20,2018-07-18,13,Yes,3.584631100478921,10.802868570089567
21,2018-07-17,1,Yes,6.178495165550417,24.38639087724346
22,2018-07-17,1,Yes,3.4554969503612534,10.789437005757339
23,2018-07-17,2,Yes,6.3278967850105845,25.121427368917704
24,2018-07-17,2,Yes,4.481108865818811,15.083265386937514
25,2018-07-17,3,Yes,7.602879321371783,31.175020946980666
26,2018-07-17,4,Yes,6.1494963310951345,25.82236835113321
27,2018-07-17,5,Yes,6.228963500398315,25.830633929183815
28,2018-07-17,6,Yes,3.597127323571438,15.219475656097579
29,2018-07-17,6,Yes,3.8031206488858165,19.443804984341927
30,2018-07-17,7,Yes,7.613213394551386,31.895592677066354
31,2018-07-17,10,Yes,6.079561880938146,25.09559743750957
32,2018-07-17,11,Yes,8.966861746182355,36.518374767521195
33,2018-07-17,13,Yes,8.815867299907007,37.19510937654114
34,2018-07-17,13,Yes,6.121467242156421,21.44263949833589
35,2018-07-17,14,Yes,8.837727596064687,36.504943203188965
36,2018-07-17,15,Yes,6.019961503960761,25.08939825397162
37,2018-07-17,16,Yes,6.188428561713314,24.387424074499787
38,2018-07-17,16,Yes,4.332107923375348,15.067767428092635
39,2018-07-16,1,Yes,6.029494223106953,24.37089291839858
40,2018-07-16,1,Yes,3.6563270235321177,14.506136306806166
41,2018-07-16,2,Yes,2.9791853278093843,11.687546895256103
